index,price,type,size,municipality,district
860,1700,3,130.0,Alvalade,Lisboa
861,2000,2,150.0,Oeiras,Lisboa
862,3950,4,294.4,Avenidas Novas,Lisboa
863,5500,4,249.0,Campolide,Lisboa
864,2700,2,118.5,Santo António,Lisboa
865,2200,4,121.0,Foz do Douro e Nevogilde,Porto
867,900,3,65.0,Penha de França,Lisboa
868,2500,4,143.0,São Vicente,Lisboa
869,1600,3,110.0,Avenidas Novas,Lisboa
870,975,1,46.0,Campo de Ourique,Lisboa
871,540,0,30.0,Vila Nova de Gaia,Porto
872,740,1,40.0,Ajuda,Lisboa
873,1600,2,107.0,Santa Maria Maior,Lisboa
874,820,1,50.7,São Nicolau e Vitória,Porto
876,1990,4,220.0,São Nicolau e Vitória,Porto
877,900,2,65.0,Alvalade,Lisboa
878,1200,1,89.0,Santa Maria Maior,Lisboa
879,2200,1,84.7,Santo António,Lisboa
880,2400,1,84.7,Santo António,Lisboa
881,2750,3,146.0,Arroios,Lisboa
882,930,1,70.0,São Vicente,Lisboa
883,3500,4,170.0,Cascais,Lisboa
884,700,1,82.8,Tavira,Faro
885,5000,4,250.0,Avenidas Novas,Lisboa
886,12000,4,283.0,Cascais,Lisboa
887,1300,2,104.0,Cascais,Lisboa
888,1150,2,85.0,Portimão,Faro
889,1200,1,50.0,Santo António,Lisboa
890,2000,2,135.0,Santo António,Lisboa
891,1700,4,100.0,São Nicolau e Vitória,Porto
892,1200,2,92.0,Cascais,Lisboa
893,1000,2,70.0,Arroios,Lisboa
894,2750,3,160.0,Oeiras,Lisboa
895,3400,3,157.95,Campo de Ourique,Lisboa
896,4500,3,180.0,Cascais,Lisboa
897,1690,2,108.0,Alvalade,Lisboa
899,1400,2,104.0,Cascais,Lisboa
900,1400,2,122.5,Avenidas Novas,Lisboa
901,1300,2,58.65,Santa Maria Maior,Lisboa
902,2100,3,150.0,Cascais,Lisboa
903,1500,1,70.0,Cascais,Lisboa
904,3000,4,217.0,Campolide,Lisboa
905,900,1,80.0,Cascais,Lisboa
906,700,1,35.0,Olivais,Lisboa
907,750,2,126.0,São Nicolau e Vitória,Porto
908,950,1,50.0,Areeiro,Lisboa
909,950,3,91.0,Amadora,Lisboa
910,1000,1,96.0,Estrela,Lisboa
911,750,2,58.0,Amadora,Lisboa
912,575,0,34.0,São Domingos de Benfica,Lisboa
913,1000,3,85.0,Misericórdia,Lisboa
914,950,3,95.0,Penha de França,Lisboa
915,1000,2,63.0,Oeiras,Lisboa
916,850,2,100.0,União de Freguesias da cidade de Santarém,Santarém
917,1050,2,85.0,Cascais,Lisboa
918,2300,3,110.0,Alvalade,Lisboa
919,1300,4,310.0,Mafra,Lisboa
920,550,0,30.0,Ajuda,Lisboa
921,650,2,72.0,Almada,Setúbal
922,1580,1,104.0,Estrela,Lisboa
923,650,1,50.0,Paranhos,Porto
924,1700,5,226.0,Ramalde,Porto
925,3600,5,267.0,Santo António,Lisboa
926,800,2,106.0,Vila Nova de Gaia,Porto
927,1900,4,130.0,Cascais,Lisboa
928,850,2,68.0,Cascais,Lisboa
929,550,3,120.0,Povoa de Varzim,Porto
930,750,1,65.0,Paranhos,Porto
931,900,2,71.0,São Vicente,Lisboa
932,850,2,68.0,Alvalade,Lisboa
933,1200,2,75.0,Santa Maria Maior,Lisboa
934,1500,3,131.27,Cascais,Lisboa
935,650,2,146.0,Dume e Semelhe,Braga
936,700,1,57.0,Amadora,Lisboa
937,950,1,44.0,Oeiras,Lisboa
938,2750,3,165.0,Arroios,Lisboa
939,1500,2,78.5,São Vicente,Lisboa
940,1000,3,97.0,Ramalde,Porto
941,790,3,120.0,Fraião e Lamaçães,Braga
942,950,2,63.0,Estrela,Lisboa
943,450,1,81.0,Ílhavo,Aveiro
944,690,1,49.0,Bonfim,Porto
945,1000,2,90.0,Foz do Douro e Nevogilde,Porto
946,775,2,78.55,Silves,Faro
947,750,3,90.0,Maia,Porto
948,680,1,55.0,Beato,Lisboa
949,750,2,65.0,Amadora,Lisboa
950,800,2,99.0,Sintra,Lisboa
951,1250,2,82.0,Cascais,Lisboa
952,400,1,40.0,Santo António dos Olivais,Coimbra
953,1200,4,100.0,Alvalade,Lisboa
954,1050,1,59.0,Campolide,Lisboa
955,700,2,75.0,Sintra,Lisboa
956,575,1,50.0,São Nicolau e Vitória,Porto
957,700,1,51.23,Funchal,Ilha da Madeira
958,850,3,92.56,São Nicolau e Vitória,Porto
959,850,2,86.0,Cascais,Lisboa
960,2950,3,140.0,Campolide,Lisboa
961,900,1,57.0,Penha de França,Lisboa
962,800,3,53.0,Penha de França,Lisboa
963,1350,3,120.0,Avenidas Novas,Lisboa
964,600,1,36.0,São Nicolau e Vitória,Porto
965,980,2,80.0,Cascais,Lisboa
966,1100,3,95.0,Alvalade,Lisboa
967,2500,3,132.0,Oeiras,Lisboa
968,950,3,73.0,Lumiar,Lisboa
969,1450,2,90.0,Matosinhos,Porto
970,1100,3,89.0,Penha de França,Lisboa
971,1300,2,76.0,Campo de Ourique,Lisboa
972,1500,3,130.0,Areeiro,Lisboa
973,700,1,78.0,São Nicolau e Vitória,Porto
974,1800,3,177.0,Cascais,Lisboa
975,2500,4,154.0,Avenidas Novas,Lisboa
976,880,2,75.0,Alvalade,Lisboa
977,1600,2,110.0,Cascais,Lisboa
978,600,3,120.0,Marrazes e Barosa,Leiria
979,1900,3,180.3,Campo de Ourique,Lisboa
980,600,1,61.0,Sintra,Lisboa
981,650,1,61.0,Sintra,Lisboa
982,1950,2,80.0,Santo António,Lisboa
983,500,3,99.0,Figueira da Foz,Coimbra
984,680,1,54.0,São Vicente,Braga
985,550,3,100.0,Sé e Cividade),Braga
986,2400,5,225.0,Parque das Nações,Lisboa
987,780,2,60.0,Benfica,Lisboa
988,800,1,57.0,São Nicolau e Vitória,Porto
989,1100,2,75.0,Lumiar,Lisboa
990,1300,3,90.0,Cascais,Lisboa
991,695,1,41.0,Misericórdia,Lisboa
993,2500,3,142.0,Matosinhos,Porto
994,1800,3,167.0,Sintra,Lisboa
995,650,1,35.0,Santo António,Lisboa
996,870,4,95.0,Campanhã,Porto
997,575,1,49.0,Valongo,Porto
998,1290,2,84.0,Campanhã,Porto
999,990,2,72.0,Areeiro,Lisboa
1000,1050,1,61.0,Arroios,Lisboa
1001,2500,1,76.38,Santo António,Lisboa
1002,2200,2,123.0,Cascais,Lisboa
1003,700,2,67.0,Paranhos,Porto
1004,888,2,98.0,Oeiras,Lisboa
1005,1300,2,112.0,Cascais,Lisboa
1006,840,2,67.0,Benfica,Lisboa
1007,850,4,152.0,Santo Tirso,Porto
1008,825,1,43.0,Misericórdia,Lisboa
1009,800,1,58.0,São Nicolau e Vitória,Porto
1010,610,0,35.0,Penha de França,Lisboa
1011,800,1,60.0,Santa Maria Maior,Lisboa
1012,2000,3,132.0,Vila Nova de Gaia,Porto
1013,950,3,100.0,São Nicolau e Vitória,Porto
1014,900,3,110.0,Vila Nova de Gaia,Porto
1015,1550,2,90.0,Cascais,Lisboa
1016,650,3,108.0,São Vicente,Braga
1017,2600,3,125.0,Santa Maria Maior,Lisboa
1018,1650,3,129.0,Santo António,Lisboa
1019,1050,3,85.0,Cascais,Lisboa
1020,790,1,60.0,Matosinhos,Porto
1021,2600,3,157.95,Campo de Ourique,Lisboa
1022,900,2,75.0,Misericórdia,Lisboa
1023,900,3,130.0,Vila Nova de Gaia,Porto
1024,800,4,165.0,Gualtar,Braga
1025,1980,3,194.0,Olivais,Lisboa
1026,1100,2,80.0,Oeiras,Lisboa
1027,750,4,140.0,Santo António dos Olivais,Coimbra
1028,750,3,140.0,Santo António dos Olivais,Coimbra
1029,600,1,38.0,Bonfim,Porto
1030,1850,4,130.0,Santo António,Lisboa
1031,800,1,40.0,Marvila,Lisboa
1032,950,2,77.0,Sé e Cividade),Braga
1033,1600,3,158.0,São Domingos de Benfica,Lisboa
1034,900,1,59.11,Ramalde,Porto
1035,800,2,40.0,São Nicolau e Vitória,Porto
1036,1400,3,92.0,Santa Maria Maior,Lisboa
1037,2000,2,127.0,Arroios,Lisboa
1038,5500,3,200.0,Cascais,Lisboa
1039,900,2,120.0,São Victor,Braga
1040,2850,3,160.0,Avenidas Novas,Lisboa
1041,2400,1,63.0,Estrela,Lisboa
1042,1800,3,140.0,Sintra,Lisboa
1043,590,3,105.0,Dume e Semelhe,Braga
1045,3800,3,147.0,Lordelo do Ouro e Massarelos,Porto
1046,650,2,138.0,Tomar,Santarém
1047,675,4,90.0,São Vicente,Braga
1048,1600,4,160.0,São Domingos de Benfica,Lisboa
1049,950,1,50.0,Arroios,Lisboa
1050,690,1,48.0,Campolide,Lisboa
1051,1350,3,103.0,Oeiras,Lisboa
1052,625,2,76.0,Nossa Senhora da Anunciada e Santa Maria da Graça),Setúbal
1053,655,2,76.0,Nossa Senhora da Anunciada e Santa Maria da Graça),Setúbal
1054,990,1,64.0,Campanhã,Porto
1055,900,2,75.0,Alvalade,Lisboa
1056,925,2,53.0,Campo de Ourique,Lisboa
1057,875,1,45.0,Campo de Ourique,Lisboa
1058,2900,3,129.0,São Nicolau e Vitória,Porto
1059,4000,4,200.0,Areeiro,Lisboa
1060,830,1,42.0,Areeiro,Lisboa
1061,800,1,50.0,Campo de Ourique,Lisboa
1062,750,1,51.0,Campolide,Lisboa
1063,750,2,75.0,Almada,Setúbal
1064,675,1,50.0,São Nicolau e Vitória,Porto
1065,500,1,56.0,São Vicente,Braga
1066,850,2,62.0,Cascais,Lisboa
1067,550,1,40.0,Vila Franca de Xira,Lisboa
1068,1200,2,100.11,Cascais,Lisboa
1069,1250,2,66.4,São Vicente,Lisboa
1070,1150,2,93.0,Penha de França,Lisboa
1071,3000,3,176.0,Belém,Lisboa
1072,550,0,50.0,São Nicolau e Vitória,Porto
1073,500,2,90.0,Tomar,Santarém
1074,580,1,48.0,Almedina e São Bartolomeu),Coimbra
1075,700,3,97.0,Almada,Setúbal
1076,650,3,110.0,Maia,Porto
1077,1500,3,140.0,Funchal,Ilha da Madeira
1078,650,1,50.0,Penha de França,Lisboa
1079,800,2,90.0,Santa Clara,Lisboa
1080,800,2,65.0,Oeiras,Lisboa
1081,1700,4,109.0,Avenidas Novas,Lisboa
1082,1200,3,120.0,Ramalde,Porto
1083,620,1,55.0,São Nicolau e Vitória,Porto
1084,580,1,23.0,Campo de Ourique,Lisboa
1085,785,2,70.0,São Nicolau e Vitória,Porto
1086,2500,3,128.0,Cascais,Lisboa
1087,650,1,85.0,São Nicolau e Vitória,Porto
1088,625,1,45.0,São Nicolau e Vitória,Porto
1089,900,2,115.0,Paranhos,Porto
1090,900,2,81.0,São Nicolau e Vitória,Porto
1091,1950,4,150.0,Estrela,Lisboa
1092,1150,1,60.0,Cascais,Lisboa
1093,880,2,61.0,Loures,Lisboa
1094,500,5,122.0,Areeiro,Lisboa
1095,950,2,80.0,São Domingos de Benfica,Lisboa
1096,420,2,78.0,Castelo Branco,Castelo Branco
1097,650,2,98.0,Palmela,Setúbal
1098,1400,3,116.0,Campo de Ourique,Lisboa
1099,550,2,75.0,Paços de Ferreira,Porto
1100,1025,2,86.0,Odivelas,Lisboa
1101,650,1,144.0,Braga (São José de São Lázaro e São João do Souto),Braga
1102,1250,3,116.0,Areeiro,Lisboa
1103,1280,3,80.0,Lumiar,Lisboa
1104,750,1,50.0,Cascais,Lisboa
1105,1400,3,105.0,Olivais,Lisboa
1106,2100,2,109.0,Cascais,Lisboa
1107,1200,3,112.0,São Domingos de Benfica,Lisboa
1108,1600,3,94.0,Santa Maria Maior,Lisboa
